iteration,temperature,current_cost,best_cost,accepted,reason,move
0,100.0,208,208,False,hard_constraint_violation,swap 36<->32
1,99.5,208,208,False,hard_constraint_violation,swap 72<->12
2,99.0025,208,208,False,hard_constraint_violation,swap 4<->12
3,98.5074875,208,208,False,hard_constraint_violation,swap 74<->26
4,98.01495006249999,208,208,False,hard_constraint_violation,relocate 72
5,97.52487531218749,208,208,False,hard_constraint_violation,swap 37<->76
6,97.03725093562655,208,208,False,hard_constraint_violation,swap 75<->37
7,96.55206468094842,208,208,False,hard_constraint_violation,swap 37<->76
8,96.06930435754367,203,203,True,soft_constraint_evaluation,swap 75<->76
9,95.58895783575595,203,203,False,hard_constraint_violation,swap 61<->71
10,95.11101304657717,203,203,False,hard_constraint_violation,swap 37<->75
11,94.63545798134429,203,203,False,hard_constraint_violation,swap 38<->75
12,94.16228069143757,203,203,False,hard_constraint_violation,swap 40<->11
13,93.69146928798038,203,203,False,hard_constraint_violation,relocate 13
14,93.22301194154048,203,203,False,hard_constraint_violation,swap 38<->76
15,92.75689688183277,203,203,False,hard_constraint_violation,swap 37<->75
16,92.29311239742361,203,203,False,hard_constraint_violation,swap 21<->62
17,91.8316468354365,203,203,False,hard_constraint_violation,swap 44<->8
18,91.37248860125932,203,203,False,hard_constraint_violation,swap 43<->54
19,90.91562615825302,203,203,False,hard_constraint_violation,swap 43<->28
20,90.46104802746176,203,203,False,hard_constraint_violation,swap 76<->37
21,90.00874278732445,203,203,False,hard_constraint_violation,swap 74<->71
22,89.55869907338783,203,203,False,hard_constraint_violation,swap 76<->38
23,89.11090557802089,203,203,False,hard_constraint_violation,swap 68<->66
24,88.66535105013078,208,203,True,soft_constraint_evaluation,swap 15<->20
25,88.22202429488013,208,203,False,hard_constraint_violation,relocate 57
26,87.78091417340573,213,203,True,soft_constraint_evaluation,swap 76<->75
27,87.34200960253871,213,203,False,hard_constraint_violation,swap 15<->71
28,86.90529955452601,213,203,False,hard_constraint_violation,relocate 46
29,86.47077305675337,213,203,False,hard_constraint_violation,swap 61<->1
30,86.0384191914696,213,203,False,hard_constraint_violation,relocate 34
31,85.60822709551225,213,203,False,hard_constraint_violation,relocate 67
32,85.18018596003469,213,203,False,hard_constraint_violation,relocate 41
33,84.75428503023451,213,203,False,hard_constraint_violation,swap 50<->21
34,84.33051360508334,213,203,False,hard_constraint_violation,swap 44<->65
35,83.90886103705792,213,203,False,hard_constraint_violation,swap 75<->37
36,83.48931673187263,213,203,False,hard_constraint_violation,swap 11<->65
37,83.07187014821326,213,203,False,hard_constraint_violation,relocate 71
38,82.6565107974722,213,203,False,hard_constraint_violation,swap 38<->76
39,82.24322824348484,213,203,False,hard_constraint_violation,swap 38<->75
40,81.83201210226741,213,203,False,hard_constraint_violation,relocate 26
41,81.42285204175607,208,203,True,soft_constraint_evaluation,swap 76<->75
42,81.01573778154729,208,203,False,hard_constraint_violation,swap 29<->9
43,80.61065909263955,208,203,False,hard_constraint_violation,swap 29<->1
44,80.20760579717636,208,203,False,hard_constraint_violation,swap 30<->9
45,79.80656776819048,208,203,False,hard_constraint_violation,relocate 45
46,79.40753492934952,208,203,False,hard_constraint_violation,swap 76<->37
47,79.01049725470277,208,203,False,hard_constraint_violation,swap 38<->76
48,78.61544476842926,208,203,False,hard_constraint_violation,relocate 25
49,78.22236754458712,208,203,False,hard_constraint_violation,swap 75<->38
50,77.83125570686418,208,203,True,soft_constraint_evaluation,swap 13<->8
51,77.44209942832987,208,203,False,hard_constraint_violation,swap 37<->76
52,77.05488893118822,208,203,False,hard_constraint_violation,swap 38<->76
53,76.66961448653227,213,203,True,soft_constraint_evaluation,swap 38<->37
54,76.2862664140996,213,203,False,hard_constraint_violation,relocate 73
55,75.9048350820291,213,203,True,soft_constraint_evaluation,swap 12<->31
56,75.52531090661896,213,203,False,hard_constraint_violation,swap 76<->37
57,75.14768435208586,213,203,False,hard_constraint_violation,relocate 8
58,74.77194593032543,213,203,False,hard_constraint_violation,swap 75<->38
59,74.3980862006738,208,203,True,soft_constraint_evaluation,swap 38<->37
60,74.02609576967043,208,203,False,hard_constraint_violation,swap 72<->8
61,73.65596529082208,208,203,False,hard_constraint_violation,relocate 8
62,73.28768546436797,208,203,False,hard_constraint_violation,swap 8<->68
63,72.92124703704613,208,203,False,hard_constraint_violation,swap 9<->31
64,72.5566408018609,208,203,False,hard_constraint_violation,swap 6<->11
65,72.19385759785159,208,203,False,hard_constraint_violation,swap 75<->37
66,71.83288830986233,208,203,False,hard_constraint_violation,swap 38<->76
67,71.47372386831302,208,203,False,hard_constraint_violation,swap 76<->38
68,71.11635524897144,208,203,False,hard_constraint_violation,relocate 10
69,70.76077347272658,208,203,False,hard_constraint_violation,swap 10<->71
70,70.40696960536295,208,203,False,hard_constraint_violation,swap 38<->76
71,70.05493475733613,208,203,False,hard_constraint_violation,relocate 32
72,69.70466008354944,208,203,False,soft_constraint_evaluation,swap 75<->76
73,69.35613678313169,208,203,False,hard_constraint_violation,relocate 70
74,69.00935609921603,208,203,False,hard_constraint_violation,swap 37<->76
75,68.66430931871996,208,203,False,hard_constraint_violation,swap 73<->20
76,68.32098777212636,208,203,False,hard_constraint_violation,swap 46<->27
77,67.97938283326573,208,203,False,hard_constraint_violation,swap 76<->38
78,67.6394859190994,208,203,False,hard_constraint_violation,relocate 7
79,67.3012884895039,208,203,False,hard_constraint_violation,swap 37<->76
80,66.96478204705639,208,203,False,hard_constraint_violation,swap 34<->21
81,66.6299581368211,208,203,False,hard_constraint_violation,relocate 73
82,66.296808346137,208,203,False,hard_constraint_violation,swap 10<->20
83,65.96532430440631,208,203,False,hard_constraint_violation,swap 38<->76
84,65.63549768288428,208,203,False,hard_constraint_violation,swap 75<->37
85,65.30732019446985,208,203,True,soft_constraint_evaluation,relocate 27
86,64.9807835934975,213,203,True,soft_constraint_evaluation,swap 76<->75
87,64.65587967553002,213,203,False,hard_constraint_violation,relocate 31
88,64.33260027715237,213,203,False,hard_constraint_violation,relocate 23
89,64.01093727576661,208,203,True,soft_constraint_evaluation,swap 76<->75
